"V1","girls","sons","woman","child","race","republican","circuit","circuit.1","age","religion","yearb","songerID","year","source1","source2","area","z","vote"
4054,2,2,0,4,1,1,"11",2,47,4,1928,224,2002,13,14,"employment",1,1
111,0,4,0,4,1,1,"2",2,51,5,1934,225,2000,13,14,"employment",0,3
159,0,4,0,4,1,1,"2",2,51,5,1934,225,1996,13,14,"employment",0,3
1579,0,4,0,4,1,1,"2",2,51,5,1934,225,2000,13,14,"employment",0,3
1620,0,4,0,4,1,1,"2",2,51,5,1934,225,1996,13,14,"employment",0,1
1621,0,4,0,4,1,1,"2",2,51,5,1934,225,1996,13,14,"employment",0,1
1628,0,4,0,4,1,1,"2",2,51,5,1934,225,1999,13,14,"pregnancy",0,3
2674,0,4,0,4,1,1,"2",2,51,5,1934,225,2002,13,14,"employment",0,1
100,1,2,0,3,1,0,"2",2,47,5,1932,228,2001,13,14,"employment",1,2
128,1,2,0,3,1,0,"2",2,47,5,1932,228,1999,13,14,"employment",1,1
129,1,2,0,3,1,0,"2",2,47,5,1932,228,1999,13,14,"employment",1,1
149,1,2,0,3,1,0,"2",2,47,5,1932,228,1997,13,14,"employment",1,3
153,1,2,0,3,1,0,"2",2,47,5,1932,228,1997,13,14,"employment",1,1
1563,1,2,0,3,1,0,"2",2,47,5,1932,228,2001,13,14,"employment",1,3
1607,1,2,0,3,1,0,"2",2,47,5,1932,228,1997,13,14,"employment",1,1
2672,1,2,0,3,1,0,"2",2,47,5,1932,228,2002,13,14,"employment",1,1
2699,1,2,0,3,1,0,"2",2,47,5,1932,228,1997,13,14,"employment",1,1
92,2,1,0,3,1,1,"2",2,47,1,1924,229,2001,13,14,"employment",1,3
140,2,1,0,3,1,1,"2",2,47,1,1924,229,1998,13,14,"employment",1,2
141,2,1,0,3,1,1,"2",2,47,1,1924,229,1998,13,14,"employment",1,1
150,2,1,0,3,1,1,"2",2,47,1,1924,229,1997,13,14,"employment",1,3
154,2,1,0,3,1,1,"2",2,47,1,1924,229,1997,13,14,"employment",1,1
155,2,1,0,3,1,1,"2",2,47,1,1924,229,1997,13,14,"employment",1,3
164,2,1,0,3,1,1,"2",2,47,1,1924,229,1996,13,14,"employment",1,1
1214,2,1,0,3,1,1,"2",2,47,1,1924,229,2002,13,14,"employment",1,1
1545,2,1,0,3,1,1,"2",2,47,1,1924,229,2002,13,14,"employment",1,2
1619,2,1,0,3,1,1,"2",2,47,1,1924,229,1996,13,14,"employment",1,3
116,3,2,0,5,1,1,"2",2,60,8,1915,237,2000,13,14,"employment",1,2
119,3,2,0,5,1,1,"2",2,60,8,1915,237,2000,13,14,"employment",1,1
133,3,2,0,5,1,1,"2",2,60,8,1915,237,1999,13,14,"employment",1,3
